user_id,brand,month,compras,compras_anteriores,compras_futuras
512417665,unknown,2019-10-01,2,0,1.0
512417696,nokia,2019-10-01,3,0,3.0
512417792,huawei,2019-10-01,7,0,2.0
512417857,electrolux,2019-10-01,1,0,1.0
512418130,samsung,2019-10-01,1,0,1.0
512418204,samsung,2019-10-01,1,0,1.0
512418471,apple,2019-10-01,1,0,2.0
512418475,oppo,2019-10-01,1,0,1.0
512418644,unknown,2019-10-01,1,0,1.0
512418667,lucente,2019-10-01,10,0,1.0
512418667,unknown,2019-10-01,11,0,2.0
512418689,samsung,2019-10-01,1,0,2.0
512418784,joyroad,2019-10-01,1,0,1.0
512418845,brw,2019-10-01,1,0,1.0
512419000,huawei,2019-10-01,8,0,1.0
512419000,samsung,2019-10-01,1,0,1.0
512419230,samsung,2019-10-01,4,0,2.0
512419298,samsung,2019-10-01,1,0,4.0
512419426,apple,2019-10-01,4,0,4.0
512419524,xiaomi,2019-10-01,1,0,1.0
512419597,apple,2019-10-01,1,0,2.0
512419627,samsung,2019-10-01,2,0,1.0
512420064,samsung,2019-10-01,1,0,1.0
512420226,apple,2019-10-01,1,0,2.0
512420258,samsung,2019-10-01,1,0,1.0
512420258,tefal,2019-10-01,11,0,2.0
512420258,thomas,2019-10-01,1,0,2.0
512420304,indesit,2019-10-01,12,0,4.0
512420304,samsung,2019-10-01,5,0,1.0
512420560,samsung,2019-10-01,1,0,1.0
512420568,apple,2019-10-01,1,0,1.0
512420573,lucente,2019-10-01,4,0,4.0
512420588,apple,2019-10-01,1,0,1.0
512420733,apple,2019-10-01,8,0,5.0
512420863,lucente,2019-10-01,6,0,3.0
512421126,apple,2019-10-01,8,0,1.0
512421134,samsung,2019-10-01,5,0,4.0
512421160,samsung,2019-10-01,1,0,6.0
512421181,acer,2019-10-01,1,0,1.0
512421323,unknown,2019-10-01,1,0,3.0
512421399,huawei,2019-10-01,1,0,1.0
512421751,hp,2019-10-01,2,0,1.0
512422548,apple,2019-10-01,1,0,1.0
512422560,apple,2019-10-01,11,0,6.0
512422560,samsung,2019-10-01,3,0,1.0
512422583,samsung,2019-10-01,8,0,3.0
512422628,selective,2019-10-01,1,0,1.0
512422880,samsung,2019-10-01,3,0,2.0
512423437,nikon,2019-10-01,1,0,9.0
512423726,xiaomi,2019-10-01,3,0,1.0
512423867,apple,2019-10-01,4,0,5.0
512423872,samsung,2019-10-01,7,0,8.0
512424171,apple,2019-10-01,2,0,6.0
512424209,apple,2019-10-01,2,0,1.0
512424209,huawei,2019-10-01,3,0,2.0
512424209,xiaomi,2019-10-01,5,0,2.0
512424372,xiaomi,2019-10-01,2,0,1.0
512424424,jaguar,2019-10-01,1,0,3.0
512424424,janome,2019-10-01,10,0,3.0
512424430,apple,2019-10-01,1,0,1.0
512424511,apple,2019-10-01,4,0,4.0
512424511,samsung,2019-10-01,1,0,1.0
512424706,lucente,2019-10-01,1,0,11.0
512424752,lg,2019-10-01,1,0,1.0
512424894,unknown,2019-10-01,4,0,1.0
512424950,xiaomi,2019-10-01,1,0,1.0
512425067,apple,2019-10-01,4,0,1.0
512425180,prestigio,2019-10-01,1,0,2.0
512425398,lg,2019-10-01,1,0,1.0
512425603,elenberg,2019-10-01,2,0,1.0
512425684,apple,2019-10-01,1,0,2.0
512425716,unknown,2019-10-01,2,0,5.0
512425891,apple,2019-10-01,2,0,3.0
512426001,apple,2019-10-01,2,0,4.0
512426001,samsung,2019-10-01,2,0,1.0
512426290,apple,2019-10-01,1,0,2.0
512426602,apple,2019-10-01,1,0,6.0
512427072,artel,2019-10-01,1,0,1.0
512427075,apple,2019-10-01,1,0,1.0
512427263,unknown,2019-10-01,1,0,4.0
512427335,apple,2019-10-01,4,0,9.0
512427417,apple,2019-10-01,6,0,5.0
512427417,unknown,2019-10-01,1,0,4.0
512427484,lucente,2019-10-01,1,0,3.0
